labels,Reviews,Backtranslated_Reviews_Google_fr
positive,यह एक काफी अच्छा बैटरी परफॉरमेंस है ।,यह काफी अच्छा बैटरी प्रदर्शन है।
neutral,हरी फलियों से लदी काली मिर्च की लताएँ ।,काली मिर्च से भरी हरी बीन्स।
positive,यही इसका सबसे महत्वपूर्ण फीचर भी है ।,यह भी इसकी सबसे महत्वपूर्ण विशेषता है।
neutral,"हमें यह परेशानी तब हुई , जब हमने इस पर एक एप्प गेम चला रहे थे अचानक गलती से उसके साथ ही एक और एप्पलीकेशन भी चल पड़ी ।","हमें यह समस्या तब हुई जब हम उस पर एक ऐप गेम चला रहे थे, अचानक एक और आवेदन उसके साथ शुरू हुआ।"
negative,रणबीर कपूर और अर्जुन रामपाल का आकर्षण भी काम नहीं आता ।,रणबीर कपूर और अर्जुन रामपाल का आकर्षण भी काम नहीं करता है।
negative,"लेखक - निर्देशक इस गलतफहमी में रहते हैं कि दर्शकों का मनोरंजन हो रहा है , जबकि ऐसी फिल्मों में कुछ दृश्यों के बाद ही जी उचट जाता है ।","राइटर्स - निर्देशक गलतफहमी में रहते हैं कि दर्शकों का मनोरंजन किया जा रहा है, जबकि ऐसी फिल्मों में, यह कुछ दृश्यों के बाद ही है।"
neutral,"ऊपर की तरफ 3.5 एमएम है , डफ़ोन्स जैक है ।","शीर्ष शीर्ष पर 3.5 मिमी है, डफन जैक है।"
positive,इसमें स्टोरेज स्पेस काफी है ।,इसमें बहुत अधिक भंडारण स्थान है।
negative,केवल एक बात ही है जो इस फिल्म के लिए बुरी है और वो ये कि यह 3डी है ।,केवल एक चीज है जो इस फिल्म के लिए खराब है और वह 3 डी है।
negative,दोनों ने बेपरवाही के साथ काम किया है ।,दोनों ने लापरवाह के साथ काम किया है।
neutral,इसलिए निचोड़ यह है कि आगर आपको आरामदायक बातचीत का आनंद उठाना है तो माइक को सही जगह पर लगाना होगा ।,"तो निचोड़ यह है कि यदि आप एक आरामदायक बातचीत का आनंद लेना चाहते हैं, तो माइक को सही जगह पर रखना होगा।"
positive,"एचपी पवेलियन dv6 6100 की सबसे खास बात है इसमें आप अपनी जरूरत के हिसाब से कोर आई3 , कोर आई 5 और कोर आई7 में कोई भी प्रोसेसर चुन सकते हैं ।","एचपी पैवेलियन DV6 6100 के बारे में सबसे खास बात यह है कि इसमें आप अपनी आवश्यकता के अनुसार कोर i3, कोर i5 और कोर i7 में किसी भी प्रोसेसर का चयन कर सकते हैं।"
positive,"इसके टेक्स्ट आधारित चैट का अनुभव ठीक वैसा ही होगा जैसा कि आप आशा करते है , चैट शुरू करने का वही तरीका और हर कॉन्टैक्ट के लिए इनडिविजुअल चैट विंडो ।","इसके पाठ आधारित चैट का अनुभव बिल्कुल वैसा ही होगा जैसा आप आशा करते हैं, उसी तरह से हर संपर्क के लिए एक चैट और एक व्यक्तिगत चैट विंडो शुरू करने का तरीका।"
negative,"मसलन आप इसे 3जी नेटवर्क पर नहीं चला सकते हैं , न ही इसमें वाइ - फाइ का विकल्प है ।","उदाहरण के लिए, आप इसे 3 जी नेटवर्क पर नहीं चला सकते हैं, न ही यह वाई -एफआई के लिए एक विकल्प है।"
neutral,पूर्णावतार श्रीकृष्ण के आदेश पर विश्वकर्मा ने इस नगरी का निर्माण किया था जिसके बाद भगवान श्रीकृष्ण ने मथुरा से सब यादवों को लाकर यहां बसाया था ।,"पूर्णवतार श्री कृष्ण के आदेशों पर, विश्वकर्मा ने इस शहर का निर्माण किया, जिसके बाद भगवान कृष्ण ने मथुरा से सभी यादवों को लाया और यहां बस गए।"
negative,"चूंकि इस पैकेज में कोई HDMI एडॉप्टर शामिल नहीं है , तो यूजर को इसे अलग से ही खरीदना होगा ।","चूंकि इस पैकेज में कोई भी एचडीएमआई अपनाने वाला शामिल नहीं है, इसलिए उपयोगकर्ता को इसे अलग से खरीदना होगा।"
neutral,बिल्ट - इंच टाइमर रिकॉर्डिंग भी है ।,निर्मित - इंच भी एक टाइमर रिकॉर्डिंग है।
positive,पटनीटॉप जम्मू से 112 किलोमीटर दूर जम्मू और कश्मीर में स्थिर सुंदर पठार है जो समुद्र सतह से 2024 मीटर की ऊंचाई पर स्थित है ।,"पटनीटॉप जम्मू और कश्मीर में एक स्थिर सुंदर पठार है, जो जम्मू से 112 किमी दूर है, जो समुद्र तल से 2024 मीटर की ऊंचाई पर स्थित है।"
neutral,एप्‍पल ने इस डिवाइस में अपनी ' सीरी टेक्‍नोलॉजी ' को मुख्‍यता से यूज किया है क्‍योंकि आप इस डिवाइस में टाइप नहीं कर सकते हैं ।,Apple ने इस डिवाइस में अपनी 'सिरी तकनीक' का उपयोग किया है क्योंकि आप इस डिवाइस में टाइप नहीं कर सकते हैं।
positive,जबकि एक्‍स 20 में एक्‍स ट्रांस सीएमओएस II प्रोसेसर लगा है जो ऑटो फोकस को और इंप्रूव करता है ।,जबकि X20 में एक X ट्रांस CMOS II प्रोसेसर है जो ऑटो फोकस में सुधार करता है।
neutral,"गेटवे ऑफ इंडिया , होटल ताज , छत्रपति शिवाजी टर्मिनस , जुहू चौपाटी जैसी जगहें यहां आने वाले सैलानियों के लिए मुख्य आकर्षण का केंद्र रही हैं ।","गेटवे ऑफ इंडिया, होटल ताज, छत्रपति शिवाजी टर्मिनस, जुहू चौपट्टी जैसे स्थान यहां आने वाले पर्यटकों के लिए मुख्य आकर्षण रहे हैं।"
negative,"स्क्रीन रेसोल्यूशन के मामले यहाँ थोड़ी निराशा हाथ लगती है जो कि 1366 x 768 पिक्सेल है , जबकि इस कीमत के रेंज में 1920 x 1080 पिक्सेल का फुल एचडी स्क्रीन रेसोल्यूशन अपेक्षित था ।","यहां स्क्रीन रिज़ॉल्यूशन के मामलों में थोड़ी निराशा होती है, जो 1366 x 768 पिक्सेल है, जबकि इस मूल्य सीमा को 1920 x 1080 पिक्सल का पूर्ण एचडी स्क्रीन रिज़ॉल्यूशन करना आवश्यक था।"
positive,"अगर आप 7-इंच एंड्राइड टेबलेट ज्यादा कीमत दिए बिना ढूढ़ रहें है , तो ET701 एक अति संतुलित उपकरण है ।","यदि आप उच्च कीमत दिए बिना 7 इंच के एंड्रॉइड टैबलेट की तलाश कर रहे हैं, तो ET701 एक बहुत ही संतुलित उपकरण है।"
positive,"इस लैपटाप की खासियत है इसकर एंटी - रिफलेक्टिव स्क्रीन , मतलब यह कि इस पर काम करते हुए आंखों पर बहुत ज्यादा जोर नहीं पड़ेगा ।","इस लैपटॉप की विशेषता एंटी -रेफ़ंडिंग स्क्रीन है, जिसका अर्थ है कि उस पर काम करने वाली आँखें ज्यादा तनावग्रस्त नहीं होंगी।"
neutral,रोटीमेटिक मशीन को प्रनोती नागरकर और रिषी ईरानी ने मिलकर बनाया है ।,ब्रेडमैटिक मशीन प्राणोती नगरकर और ऋषि ईरानी द्वारा एक साथ बनाई गई है।
neutral,वरुण धवन अपेक्षाकृत नए एक्टर हैं ।,वरुण धवन एक अपेक्षाकृत नए अभिनेता हैं।
neutral,इस टैबलेट में कोई वॉल्यूम रॉकर नहीं है ।,इस टैबलेट में कोई वॉल्यूम रॉकर नहीं है।
positive,मुन्नार केरल का एक ख़ूबसूरत हिल स्टेशन है ।,मुन्नार केरल में एक सुंदर हिल स्टेशन है।
neutral,हिमालय की पहाड़ियों से घिरा हुआ काठमांडू नगर यूनेस्को की विश्व धरोहरों में शामिल है ।,हिमालयी पहाड़ियों से घिरे काठमांडू शहर को यूनेस्को की विश्व विरासत में शामिल किया गया है।
neutral,अगर इसका सिर्फ डिजाइन देखा जाए तो यह ऐसा फोन नहीं है जिसके लिए लोगों की लाइन लग जाएगी ।,"यदि यह केवल इसका डिज़ाइन देखा जाता है, तो यह एक ऐसा फोन नहीं है जिसके लिए लोगों को पंक्तिबद्ध किया जाएगा।"
positive,"इसका वज़न नए आईपैड की तुलना में लगभग आधा है , और यह अन्य उपलब्ध 7-इंच टेबलेट्स से भी हल्का है ।","इसका वजन नए iPad की तुलना में लगभग आधा है, और अन्य उपलब्ध 7 इंच की टैबलेट की तुलना में हल्का है।"
neutral,अर्नाल्ड इस बार बहुत ही सीरियस किरदार में है ।,अर्नोल्ड इस बार बहुत गंभीर भूमिका में हैं।
positive,एप्पल टीवी को रिमोट की जगह एक Apple ' s Remote ऐप के जरिए आईफोन या आईपैड से भी कंट्रोल किया जा सकता है ।,Apple TV को रिमोट के बजाय Apple के रिमोट ऐप के माध्यम से iPhone या iPad के साथ भी नियंत्रित किया जा सकता है।
positive,कनेक्टिविटी में यह फोन आगे है ।,यह फोन कनेक्टिविटी में आगे है।
positive,मार्वल फैंस के लिए ये एक शानदार ट्रीट है ।,यह मार्वल प्रशंसकों के लिए एक महान उपचार है।
positive,सोनम कपूर के हास्य में एक शालीनता है ।,सोनम कपूर में हास्य में एक शालीनता है।
neutral,माइक्रोसॉफ्ट सरफेस 3 टैबलेट विंडोज 10 ऑपरेटिंग सिस्टम अपडेट हो जाएगा ।,Microsoft सरफेस 3 टैबलेट विंडोज 10 ऑपरेटिंग सिस्टम अपडेट किया जाएगा।
positive,टचस्क्रीन डिस्प्ले में 1280x800 रिजॉल्यूशन के साथ एक आइपीएस पैनल है और इसकी क्वालिटी भी अच्छी है ।,टचस्क्रीन डिस्प्ले में 1280x800 रिज़ॉल्यूशन वाला एक IPS पैनल है और इसकी गुणवत्ता भी अच्छी है।
neutral,यहां जून महीने में सैलानियों की सबसे अधिक भीड़ रहती है ।,जून में पर्यटकों की सबसे अधिक भीड़ है।
positive,देवाधिदेव महादेव भगवान शिव को सर्वोच्च देवता के रूप में पूजने वाले उपासकों के लिए तमिलनाडु का चिदंबरम / नटराज मंदिर आस्था और सौंदर्य के प्रमुख केंद्रों में से एक है ।,"तमिलनाडु के चिदम्बराम / नटराज मंदिर, उपासकों के लिए विश्वास और सुंदरता के प्रमुख केंद्रों में से एक है, जिन्होंने भगवान शिव को सर्वोच्च देवता के रूप में पूजित किया था।"
positive,बाहंग के हिम वैली फन पार्क में भी सैलानी दस्तक देकर सुकून के दो पल बिताते हुए मनाली की यात्रा को यादगार बना सकते हैं ।,"बहंग के स्नो वैली फन पार्क में, पर्यटक खटखटाते हुए शांति के दो क्षणों को खर्च करके मनाली की यात्रा को यादगार बना सकते हैं।"
neutral,नेक्सस 7 में अब 5 मेगापिक्सेल का रियर कैमरा और 1.2 मेगापिक्सेल का फ्रंट फेसिंग कैमरा है ।,नेक्सस 7 में अब 5 -Megapixel रियर कैमरा और 1.2 -Megapixel फ्रंट फेसिंग कैमरा है।
negative,इस वॉच में एस वॉयस नाम की नेचूरल लेंग्‍वेज आईडेंटिंफिकेशन फीचर है हालांकि इस फीचर को आवाज इंटरप्रेट करने में थोड़ी प्रॉब्‍लम होती है ।,"इस घड़ी में एस वॉयस नामक एक प्राकृतिक भाषा पहचान सुविधा है, हालांकि इस सुविधा की व्याख्या करने में कुछ समस्या है।"
neutral,कंपनी की ओर से इन दोनों की वेरियंट्स के लिए 3 साल की वॉरंटी दी जा रही है ।,कंपनी को इन दोनों के वेरिएंट के लिए 3 -यार वारंटी दी जा रही है।
positive,सूरज की तेज़ रोशनी में बहुत से फोन के डिस्पले को आप देख नहीं पाते हैं लेकिन एलजी आप्टिमस जी में ऐसा नहीं है ।,"आप सूर्य के प्रकाश में कई फोन के प्रदर्शन को नहीं देख पा रहे हैं, लेकिन एलजी ऑप्टिमस में ऐसा नहीं है।"
negative,"आसुस फोनपैड के पीछे 3 मेगापिक्सेल का कैमरा है , लेकिन इसमें फ़्लैश नहीं है ।","ASUS फोनपैड के पीछे एक 3 -Megapixel कैमरा है, लेकिन इसमें फ्लैश नहीं है।"
positive,इससे इतना तो तय है कि यह दिखने में बहुत आकर्षक है ।,यह निश्चित है कि यह दिखने में बहुत आकर्षक है।
neutral,आप तिब्बती या भूटानी मठों में भी ठहर सकते हैं ।,आप तिब्बती या भूटानी मठों में भी रह सकते हैं।
positive,"प्राकृतिक संपदा , इतिहास और जनजातीय संस्कृति से भरपूर फूलबानी काफी समय से यात्रियों को आकर्षित करता रहा है ।","प्राकृतिक धन, इतिहास और आदिवासी संस्कृति से भरा फूलबनी लंबे समय से यात्रियों को आकर्षित कर रहा है।"
positive,कैमरा से हटकर अगर फोन के परफॉर्मेंस की बात करते हैं तो बहुत अच्छा कहा जाएगा ।,"अगर हम फोन के प्रदर्शन के बारे में बात करते हैं, तो यह बहुत अच्छा कहा जाएगा।"
neutral,डाटा स्पीड नेटवर्क पर निर्भर करती है लेकिन डिवाइस की आंतरिक परफार्मेंस निर्दोष है चाहे कॉलिंग हो या सर्फिंग ।,डेटा की गति नेटवर्क पर निर्भर करती है लेकिन डिवाइस का आंतरिक प्रदर्शन निर्दोष है चाहे वह कॉलिंग हो या सर्फिंग।
neutral,इसे या तो रोग या फिर जोक माना जाता है ।,इसे या तो बीमारी या मजाक माना जाता है।
positive,"जबकि कैनवास नीट्रो में समान कैमरा है , i5 एचडी में वास्तव में इससे बेहतर कैमरा है ।","जबकि कैनवास नाइट्रो में एक ही कैमरा है, i5 एचडी में वास्तव में एक बेहतर कैमरा है।"
positive,टैबलेट देखने में अच्छी हैं तथा परफार्म अच्छा करती है ।,टैबलेट देखने में अच्छे हैं और प्रदर्शन अच्छा होता है।
neutral,"दौड़ें , भागें , कूदें और रोल करें , लेकिन ध्यान रहे आपकी टाइमिंग बिल्कुल सही होनी चाहिए ।","रन, रन, जंप और रोल, लेकिन याद रखें कि आपका समय सही होना चाहिए।"
neutral,"इसके साथ ही इस स्मार्टफ़ोन में ग्रेविटी सेंसर , प्रोक्सिमिटी सेंसर , लाइट सेंसर और असेलेरोमीटर भी है ।","इसके साथ ही, इस स्मार्टफोन में गुरुत्वाकर्षण सेंसर, निकटता सेंसर, लाइट सेंसर और एसेलोमीटर भी हैं।"
neutral,हाई स्कूल के दिनों में किशोर अपनी खास पहचान और स्टाइल के लिए अलग - अलग तरीके से बाल कटवाते हैं ।,"हाई स्कूल के दिनों के दौरान, किशोर अपनी विशेष पहचान और शैली के लिए अलग -अलग तरीकों से बाल कटवाने लगते हैं।"
positive,नीरज पांडे की ' बेबी ' आतंकवाद पर बनी एक समझदार फिल्म है ।,नीरज पांडे की 'बेबी' आतंकवाद पर एक समझदार फिल्म है।
positive,माइक्रोसॉफ्ट का सरफेस टैबलेट आम टैबलेट्स से पतला है ।,Microsoft की सतह की गोली आम गोलियों से पतला है।
neutral,"इस पॉपअप बॉक्स में पासवर्ड चेंज करने , लॉगइन अलर्ट्स चालू करने और मौजूदा फेसबुक सेशन को पूरी तरह से बंद करने के ऑप्शन मिलेंगे ।","इस पॉपअप बॉक्स में पासवर्ड बदलने, लॉगिन अलर्ट चालू करने और मौजूदा फेसबुक सत्र को पूरी तरह से बंद करने के विकल्प होंगे।"
positive,यूनिबॉडी डिजाइन वाला ये फोन दिखने में बेहद खूबसूरत लगता है ।,यूनिबॉडी डिज़ाइन के साथ यह फोन बहुत सुंदर लगता है।
neutral,"वर्तमान में इस पार्क में कछुओं की कई किस्में , मछलियों की 50 किस्में और उभयचरों की पांच किस्में पाई जाती हैं ।","वर्तमान में, कछुओं की कई किस्में, मछली की 50 किस्में और उभयचरों की पांच किस्में इस पार्क में पाई जाती हैं।"
negative,कहीं - कहीं पहाड़ के ऊपरी हिस्से में भू - स्खलन होने की वजह से उसके ठीक नीचे के जंगल बिलकुल साफ हो गये थे ।,"कुछ स्थानों पर, पहाड़ के ऊपरी हिस्से में स्खलन के कारण, इसके जंगल पूरी तरह से साफ हो गए थे।"
positive,"मीडिया पैड में पीछे का कवर चमकदार एल्युमिनियम का है जिसके ऊपरी और निचले शिरों पर त्रिकोणीय कवर , पोरट्रेट मोड में पकड़ने पर दिखाई देते है जो निश्चित रूप से ध्यान आकर्षित करते हैं ।","मीडिया पैड में रियर कवर उज्ज्वल एल्यूमीनियम का है, जिसका ऊपरी और निचले सिर पर त्रिकोणीय कवर दिखाई देता है, जब वह निश्चित रूप से ध्यान आकर्षित करता है।"
neutral,"इनके चलते इसे टेबलेट के रूप में काम में लेते हुए फोटो , वीडियो शूटिंग के लिए वीडियो चैटिंग करने के अलावा सेल्फी खींची जा सकती है ।","इनके कारण, इसे टैबलेट का उपयोग करते समय फोटो, वीडियो शूटिंग के लिए वीडियो चैटिंग के अलावा सेल्फी ली जा सकती है।"
neutral,"एसफाल्ट 8 खेलते हुए , 1080पी मूवी देखते हुए या यहां तक कि गूगल डॉक्स पर यह रिव्यू लिखते हुए भी कहीं कोई समस्या नहीं है ।","डामर 8 खेलते समय, 1080p फिल्में देखने या यहां तक ​​कि Google डॉक्स पर यह समीक्षा लिखने के दौरान कोई समस्या नहीं है।"
negative,"इस प्रोसेसर के साथ 512 MB की DDR3 RAM है जो इस डिवाइस के लिए जरूरी भी है , लेकिन हमें लगता है कि इस डिवाइस को और तेजी से कार्य करने के लिए कुछ अधिक RAM की जरूरत है ।","यह प्रोसेसर 512 एमबी DDR3 रैम के साथ है जो इस डिवाइस के लिए भी आवश्यक है, लेकिन हमें लगता है कि इस उपकरण को तेजी से काम करने के लिए कुछ और रैम की आवश्यकता है।"
positive,"कुल मिलाकर इसकी बनावट की क्वालिटी बहुत अच्छी है , और हमें इसमें किसी भी तरह की कमी नहीं नज़र आई ।","कुल मिलाकर, इसकी बनावट की गुणवत्ता बहुत अच्छी है, और हमने इसकी कोई कमी नहीं देखी।"
neutral,उन्हें अभी तक अभ्यास की जरूरत है ।,उन्हें अभी भी अभ्यास की आवश्यकता है।
negative,लेकिन इसका डिस्प्ले हिन्ज़ उतना टाइट नहीं है जितना इसे होना चाहिए और इसीलिये इस्तेमाल करते वक्त अचानक कोई मूवमेंट होने पर इसका डिस्प्ले कभी - कभी अपने पोजीशन से हिल जाता है ।,"लेकिन इसका प्रदर्शन उतना तंग नहीं है जितना कि यह होना चाहिए और यही कारण है कि जब इसका उपयोग करते समय अचानक आंदोलन होता है, तो इसका प्रदर्शन कभी -कभी इसकी स्थिति से हिल जाता है।"
positive,"यह बेहद परिष्कृत फोन है और ईमानदारी की बात तो यह है माइक्रोमैक्स के पिछले साल डेढ़ साल में आए बाकी फोन्स के मुकाबले इसे हाथ में लेना , यूज करना काफी बेहतर अनुभव है ।",यह एक बहुत ही परिष्कृत फोन है और यह ईमानदारी की बात है कि माइक्रोमैक्स इसे लेने और इसे डेढ़ साल में बाकी फोन की तुलना में इसका उपयोग करने के लिए एक बेहतर अनुभव है।
neutral,"विक्डलीक वाम्मी 7 में माली 400 , 3डी एकसीलरेटर ग्राफिक्स प्रोसेसर एवं 512 एमवी रैम के साथ एडब्लू ए10 कार्टेक्स ए8 1.2गीगाहर्टज लगा है ।","Wickedlik Vammi 7 में AW10 कार्टेक्स A8 1.2 GHz के साथ एक माली 400, 3D एक्सेलेरेटर ग्राफिक्स प्रोसेसर और 512 mV RAM है।"
negative,यहां भी उन्होंने कोरियाई फिल्म ' व्हाटएवर ' की नकल करने की कोशिश की है ।,"यहाँ भी, उन्होंने कोरियाई फिल्म 'व्हावेवर' की नकल करने की कोशिश की है।"
positive,यहां प्राकृतिक सौंदर्य के साथ विविध संस्कृतियां देशी - विदेशी पर्यटकों को आकर्षित करती हैं ।,यहां प्राकृतिक सुंदरता के साथ विभिन्न संस्कृतियां घरेलू -पर्यटकों को आकर्षित करती हैं।
negative,लाचेन से आगे का रास्ता फिर थोड़ा पथरीला था ।,लाचेन के आगे की सड़क फिर से थोड़ी चट्टानी थी।
positive,"इस टैबलेट की एक खासियत यह है , कि इसमें कालिंग की सुविधा है ।",इस टैबलेट की एक विशेषता यह है कि इसमें कॉलिंग की सुविधा है।
positive,"सरल लूक , सम्मानजनक विशेषताएं और स्पर्धात्मक कीमत के चलते मोटोरोला ने इस बार सही काम कर दिखाया है ।","मोटोरोला ने इस बार सरल लुक, सम्मानजनक सुविधाओं और प्रतियोगिता मूल्य के कारण सही काम किया है।"
neutral,अगर आप के पास एक एंड्रायड आधारित हैंडसेट है तो इसे दूसरे हैंडसेट के तौर पर खरीदा जा सकता है ।,"यदि आपके पास एंड्रॉइड -आधारित हैंडसेट है, तो इसे दूसरे हैंडसेट के रूप में खरीदा जा सकता है।"
positive,"इसके पीछे के हिस्से में दानेदार रबर फिनिश ना सिर्फ इसे पकड़ने में काफी अच्छा ग्रिप देता है , बल्कि इसे एक प्रीमियम फील भी देता है ।","दानेदार रबर फिनिश न केवल इसे पकड़ने में बहुत अच्छी पकड़ देता है, बल्कि इसे एक प्रीमियम महसूस भी देता है।"
positive,यह उद्यान भरतपुर का सर्वाधिक प्रसिद्ध पर्यटन आकर्षण है ।,यह पार्क भरतपुर का सबसे प्रसिद्ध पर्यटन आकर्षण है।
positive,इसका डिस्प्ले अच्छा है और इसका देखने का एंगल बढ़िया है ।,इसका प्रदर्शन अच्छा है और इसका कोण अच्छा है।
positive,एप्लिकेशन में आईकान को बेहद ही सहज तरीके से पेश किया गया है ।,"आवेदन में, इकन को बहुत आसान तरीके से पेश किया गया है।"
neutral,"यह पहली एंड्रायड बेस्‍ड स्‍मार्टवॉच है , इसके अलावा इसमें 1.5 इंच की सर्कुलर स्‍क्रीन लगी हुई है , जिसमें गोरिल्‍ला ग्‍लॉस लगा हुआ है ।","यह पहला एंड्रॉइड आधारित स्मार्टवॉच है, इसके अलावा इसमें गोरिल्ला ग्लॉस के साथ 1.5 -इंच परिपत्र स्क्रीन है।"
neutral,"अगर आप पहली बार टैबलेट खरीद करहे हैं और आपका बजट 10 हजार रुपये से नीचे है , तो इसे खरीदना बुरा विकल्प नहीं है ।","यदि आपने पहली बार टैबलेट खरीदे हैं और आपका बजट 10 हजार रुपये से कम है, तो इसे खरीदना कोई बुरा विकल्प नहीं है।"
positive,"वैसे तो बोधगया में मन्दिर , पीपल वृक्ष , सरोवर , गुफा , संग्रहालयों की कमी नहीं है लेकिन सैलानियों के लिए सबसे ज्यादा आकर्षण का केंद्र महाबोधी मंदिर है जिसे देखने के लिए दुनियाभर के बौद्ध भिक्षु और पर्यटक गया की ओर रुख करते हैं ।","यद्यपि बोध गया में मंदिरों, पीपल पेड़ों, झीलों, गुफाओं, संग्रहालयों की कमी नहीं है, लेकिन पर्यटकों के लिए सबसे अधिक आकर्षण महाबोधि मंदिर है, जो कि देखने के लिए दुनिया भर के बौद्ध भिक्षुओं और पर्यटकों को देखना है।"
positive,अपनी खूबसूरती की वजह से ही यह कस्बा यूनेस्को के विश्व विरासत स्थलों में नामांकित भी हुआ है ।,यह इसकी सुंदरता के कारण है कि शहर को यूनेस्को विश्व विरासत स्थलों में भी नामांकित किया गया है।
positive,ये हिस्सा एकदम सांस रोक देने वाला है ।,यह हिस्सा बिल्कुल सांस ले रहा है।
neutral,"भ्रष्टाचार के मामले में बड़े नेता , बिजनेश मैन और समाज के कथित सम्मानित व्यक्ति जेल की सजा काट रहे हैं ।","भ्रष्टाचार के मामले में, बड़े नेता, व्यवसायी पुरुष और समाज के कथित सम्मानित लोग जेल की सजा काट रहे हैं।"
positive,नोट 4 में 2.7जीएचजेड क्वालकॉम स्नैपड्रगन 805 प्रोसेसर व 2 जीबी के रैम के साथ तेज ग्राफिक्स प्रोसेसर है ।,नोट 4 में 2.7 गीगाहर्ट्ज क्वालकॉम स्नैपड्रैगन 805 प्रोसेसर और 2 जीबी रैम के साथ एक तेज ग्राफिक्स प्रोसेसर है।
positive,जैसा कि हमने पहले ही कहा है कि लूमिया सिरीज के अब तक के सभी डिवाइसेस की तुलना में लूमिया 730 अभी भी कहीं बेहतर है ।,"जैसा कि हमने पहले ही कहा है, लुमिया 730 अभी भी लुमिया श्रृंखला के सभी उपकरणों से बेहतर है।"
positive,"निश्चित रूप से इस टेबलेट की खास बात इसका टेगरा 4 चिपसेट है , जो इस टेबलेट को बेहद शक्तिशाली बनाता है ।","निश्चित रूप से इस टैबलेट के बारे में विशेष बात इसका टैगरा 4 चिपसेट है, जो इस टैबलेट को बहुत शक्तिशाली बनाती है।"
neutral,उन्होंने मुसलमानों के बारे में प्रचलित धारणाओं और मिथकों पर संवेदनशील कटाक्ष किया है ।,उन्होंने मुसलमानों के बारे में प्रचलित धारणाओं और मिथकों पर संवेदनशील व्यंग्य लिया है।
negative,इस आकार के लिए डिस्प्ले में शार्पनेस और रिजॉल्यूशन की कमी है ।,इस आकार के लिए प्रदर्शन में तीक्ष्णता और संकल्प का अभाव है।
negative,लेकिन बाहर धूप में इस पर उतना बेहतर नहीं दिखाई देता ।,लेकिन यह बाहर सूरज में इस पर उतना बेहतर नहीं दिखाई देता है।
neutral,"फिल्म निर्माण और अपने किरदार को जीने की प्रक्रिया में कई बार कलाकार फिल्म के सार से प्रभावित और डिस्टर्ब होते हैं , लेकिन उनमें से कुछ ही भूमिका निभाने की उधेड़बुन को यों प्रकट कर पाते हैं ।","फिल्म निर्माण और अपने चरित्र को जीने की प्रक्रिया में कई बार, कई बार अभिनेता फिल्म के सार से प्रभावित और परेशान होते हैं, लेकिन उनमें से केवल कुछ ही भूमिका निभाने में सक्षम होते हैं।"
positive,मुख्य सड़क की सैर या नदी किनारे टहलना आनंददायक अनुभव है ।,मुख्य सड़क चलना या नदी के किनारे चलना एक सुखद अनुभव है।
positive,"इस पर मोबाइल फोन नेटवर्क वाले इंटरनेट से इस टेबलेट पर आने वाले मैसेज , ईमेल और कंटेंट एक विशेष कोड में आते हैं जिन्हें हैकर्स के लिए पढ़ना नामुमकिन हो जाता है ।","इस पर, मोबाइल फोन नेटवर्क के साथ इंटरनेट से इस टैबलेट पर आने वाले संदेश, ईमेल और सामग्री एक विशेष कोड में आते हैं जो हैकर्स के लिए पढ़ना असंभव है।"
